Store Code,Store Name,Region,Date,Hour,Total IN,Adult IN,Child IN,Group IN,Staff IN
JP002,Mall Of Asia,South,11/01/2026,11,8,6,2,0,0
JP001,Palladium Mall,West,11/01/2026,11,8,6,0,0,2
JP002,Mall Of Asia,South,11/01/2026,12,12,6,2,2,4
JP001,Palladium Mall,West,11/01/2026,12,11,8,0,0,3
JP002,Mall Of Asia,South,11/01/2026,13,15,8,5,3,2
JP001,Palladium Mall,West,11/01/2026,13,10,7,0,1,3
JP002,Mall Of Asia,South,11/01/2026,14,33,21,7,5,5
JP001,Palladium Mall,West,11/01/2026,14,7,6,0,0,1
JP002,Mall Of Asia,South,11/01/2026,15,23,14,7,3,2
JP001,Palladium Mall,West,11/01/2026,15,32,22,10,2,0
JP002,Mall Of Asia,South,11/01/2026,16,8,4,0,1,4
JP001,Palladium Mall,West,11/01/2026,16,34,26,4,3,4
JP002,Mall Of Asia,South,11/01/2026,17,9,5,1,0,3
JP001,Palladium Mall,West,11/01/2026,17,29,23,3,2,3
JP002,Mall Of Asia,South,11/01/2026,18,9,4,0,1,4
JP001,Palladium Mall,West,11/01/2026,18,11,6,1,0,4
JP002,Mall Of Asia,South,11/01/2026,19,12,7,2,2,3
JP001,Palladium Mall,West,11/01/2026,19,18,16,1,2,1
JP002,Mall Of Asia,South,11/01/2026,20,12,8,2,2,1
JP001,Palladium Mall,West,11/01/2026,20,11,7,1,1,3
JP002,Mall Of Asia,South,11/01/2026,21,15,12,1,2,2
JP001,Palladium Mall,West,11/01/2026,21,6,5,0,0,1
JP002,Mall Of Asia,South,12/01/2026,11,5,4,0,0,1
JP001,Palladium Mall,West,12/01/2026,11,10,9,1,1,0
JP002,Mall Of Asia,South,12/01/2026,12,8,4,1,0,3
JP001,Palladium Mall,West,12/01/2026,12,8,8,0,0,0
JP002,Mall Of Asia,South,12/01/2026,13,6,3,1,0,2
JP001,Palladium Mall,West,12/01/2026,13,1,1,0,0,0
JP002,Mall Of Asia,South,12/01/2026,14,12,3,7,2,2
JP001,Palladium Mall,West,12/01/2026,14,4,3,0,0,1
JP002,Mall Of Asia,South,12/01/2026,15,11,2,2,0,7
JP001,Palladium Mall,West,12/01/2026,15,10,9,0,1,1
JP002,Mall Of Asia,South,12/01/2026,16,3,1,0,0,2
JP001,Palladium Mall,West,12/01/2026,16,9,6,2,2,1
JP002,Mall Of Asia,South,12/01/2026,17,7,5,0,0,2
JP001,Palladium Mall,West,12/01/2026,17,5,3,1,0,1
JP002,Mall Of Asia,South,12/01/2026,18,4,0,0,0,4
JP001,Palladium Mall,West,12/01/2026,18,3,3,0,0,0
JP002,Mall Of Asia,South,12/01/2026,19,2,0,0,0,2
JP001,Palladium Mall,West,12/01/2026,19,12,10,1,1,1
JP002,Mall Of Asia,South,12/01/2026,20,3,1,1,0,1
JP001,Palladium Mall,West,12/01/2026,20,15,12,1,2,2
JP002,Mall Of Asia,South,12/01/2026,21,0,0,0,0,0
JP001,Palladium Mall,West,12/01/2026,21,5,4,1,1,0
JP001,Palladium Mall,West,12/01/2026,22,0,0,0,0,0
JP002,Mall Of Asia,South,13/01/2026,11,2,1,0,0,1
JP001,Palladium Mall,West,13/01/2026,11,4,4,0,0,0
JP002,Mall Of Asia,South,13/01/2026,12,3,3,0,0,0
JP001,Palladium Mall,West,13/01/2026,12,10,9,0,0,1
JP002,Mall Of Asia,South,13/01/2026,13,9,4,1,0,4
JP001,Palladium Mall,West,13/01/2026,13,15,12,0,1,3
JP002,Mall Of Asia,South,13/01/2026,14,9,4,2,0,3
JP001,Palladium Mall,West,13/01/2026,14,9,9,0,0,0
JP002,Mall Of Asia,South,13/01/2026,15,3,1,0,0,2
JP001,Palladium Mall,West,13/01/2026,15,6,6,0,0,0
JP002,Mall Of Asia,South,13/01/2026,16,1,0,0,0,1
JP001,Palladium Mall,West,13/01/2026,16,18,14,1,1,3
JP002,Mall Of Asia,South,13/01/2026,17,10,6,2,2,2
JP001,Palladium Mall,West,13/01/2026,17,4,3,0,0,1
JP002,Mall Of Asia,South,13/01/2026,18,18,10,5,2,2
JP001,Palladium Mall,West,13/01/2026,18,3,3,0,0,0
JP002,Mall Of Asia,South,13/01/2026,19,7,3,2,1,2
JP001,Palladium Mall,West,13/01/2026,19,4,2,0,0,2
JP002,Mall Of Asia,South,13/01/2026,20,4,3,0,0,1
JP001,Palladium Mall,West,13/01/2026,20,6,5,0,1,1
JP002,Mall Of Asia,South,13/01/2026,21,2,1,1,1,0
JP001,Palladium Mall,West,13/01/2026,21,9,8,0,0,1
JP002,Mall Of Asia,South,14/01/2026,11,7,5,0,0,2
JP001,Palladium Mall,West,14/01/2026,11,9,9,0,0,0
JP002,Mall Of Asia,South,14/01/2026,12,18,12,2,3,4
JP001,Palladium Mall,West,14/01/2026,12,9,8,0,0,1
JP002,Mall Of Asia,South,14/01/2026,13,8,5,1,1,2
JP001,Palladium Mall,West,14/01/2026,13,8,7,0,1,1
JP002,Mall Of Asia,South,14/01/2026,14,1,0,0,0,1
JP001,Palladium Mall,West,14/01/2026,14,10,9,0,0,1
JP002,Mall Of Asia,South,14/01/2026,15,6,4,0,0,2
JP001,Palladium Mall,West,14/01/2026,15,6,4,0,0,2
JP002,Mall Of Asia,South,14/01/2026,16,8,3,2,1,3
JP001,Palladium Mall,West,14/01/2026,16,12,8,1,1,3
JP002,Mall Of Asia,South,14/01/2026,17,6,1,1,0,4
